method,size50,size75,size100,size125,size150,size175,size200,size225,size250,size275,size300
chisq,0.0956141662599751,0.09561416557963334,0.09784928228243488,0.10836927307699255,0.10572847654668584,0.07369377881044613,0.13836351269938185,0.10508211636114047,0.12020467314271206,0.05232109250838665,0.11758584349869715
robbins,0.23714027001611623,0.12043693361160607,0.33835434829907535,0.12171283393573287,0.14886468333323571,0.11494367968480552,0.13374600638241504,0.216119842458911,0.19468145406144352,0.23651737273170068,0.10115382588244337
npmle,0.16333662615477124,0.09930979429087113,0.23385227050754587,0.11797055129363367,0.14326492911044053,0.18425573523291414,0.11794177911329999,0.15309319371140306,0.07091455500740448,0.12624679056102356,0.0975628961215475
sqH,0.11594063002035561,0.10555401374508427,0.23821024625890394,0.11401916422622271,0.14291460625575209,0.08055416163161701,0.13307180472211566,0.1307283445600609,0.06274473993176483,0.13463560413902484,0.09982445480499604
chisq,0.12610025201183347,0.09160182060979828,0.22323333523007707,0.1163599713205705,0.14934809199874963,0.17628402205017937,0.10609024072187186,0.13302535533560358,0.08369802770234466,0.10533244262184602,0.10185677636234587
robbins,0.1744871397767289,0.38851795777791265,0.17680225345130562,0.04037482863958461,0.16285342837247943,0.07751525618815296,0.2005247645480439,0.29345170145768085,0.10445947977320669,0.12143073440864642,0.12310866393574785
npmle,0.14613831082325146,0.2003160764940598,0.11688854944186647,0.028221949825347238,0.13882569881257747,0.050091787228697705,0.08752389591373795,0.10480424306119569,0.09704510528907542,0.11395659966388973,0.11952365526254959
sqH,0.08980292113540841,0.10660968897233353,0.12421869326017104,0.03683179368909922,0.11276499753089979,0.050249318501960766,0.10092311599267345,0.11733653071627732,0.1144833291303221,0.11817731640180192,0.11611158720684292
chisq,0.09713360480432691,0.06355403004717179,0.1086601042569976,0.02356165897097543,0.11506922045311072,0.043708587472861,0.06821853490145274,0.0838685949194953,0.089723172481786,0.10517788437218191,0.12115893636056868
robbins,0.39666130168330666,0.19032674103108718,0.1744871397767289,0.05766313721082706,0.1201108738717095,0.11329531617330744,0.07727493777451552,0.14057157325539152,0.11081958614755277,0.15110652332500635,0.15550817543139905
npmle,0.20443958351595523,0.14710005572608437,0.14613873439951877,0.045916079461833466,0.11703106650490473,0.07312399212462165,0.08096551264431373,0.13662652839311915,0.1163518555193431,0.14257788692102272,0.10340438823259533
sqH,0.1448343189519442,0.12324105639052883,0.08980292262709431,0.05914944189267907,0.10184460280417966,0.08359546834083662,0.09178207745867983,0.1427400465338895,0.0778114132353895,0.12767046145250013,0.0692488196208287
chisq,0.18485513754983432,0.1340392473468615,0.09713359541265948,0.038721152850615836,0.10526559045030941,0.06015167890561165,0.06342034239414937,0.14603576140837796,0.04352203242043334,0.134107864164321,0.03845553527262929
robbins,0.2535295799888874,0.13671939735023672,0.6976923723473485,0.09174413232764163,0.14310133406500933,0.13058795086898256,0.12330540336833705,0.11031302726936508,0.16614952568042715,0.0981901803566435,0.06493743908234197
npmle,0.09545960169790209,0.11956023713187042,0.03218881722748417,0.09342915935056377,0.1308919923972118,0.10820109465156438,0.11826138641204946,0.10850676358019569,0.14782745486460316,0.0982761086153943,0.049836584781277685
sqH,0.11010662287598393,0.12117968496702192,0.016854892253299045,0.11497583770454323,0.10336301874060057,0.11173433216259923,0.1136799017602131,0.08945119979494165,0.1332192585510276,0.11035436374283618,0.05136170542083743
chisq,0.0728385573732521,0.09089795050827781,0.07578278131443439,0.0776133298267318,0.10575197206641515,0.10143145531623686,0.11953238733868364,0.0931535631805561,0.1385333894646433,0.10091587833239593,0.04691255753118462
robbins,0.19763064512244885,0.059064773366639,0.1455589122922747,0.1453545896803368,0.11376528409818294,0.11691454555310668,0.09133370061315428,0.18794222818576978,0.12270038314236088,0.15121112903469058,0.13844360227213887
npmle,0.23670604872382942,0.048397760625534046,0.12928031158693906,0.07142964741182554,0.06992070248395606,0.11368066824092608,0.07298859821995776,0.11726962000999677,0.10876903862285824,0.08715850944984327,0.13147956432787833
sqH,0.08499889825062526,0.059256190151914676,0.11105170287454857,0.08552591218782818,0.08203111775858021,0.10643481090775972,0.08508780608799048,0.06518566621232817,0.11333497098702909,0.07019871521197212,0.11880622307233873
chisq,0.3368535377181036,0.04301313793745175,0.12338417731269288,0.0588294382724001,0.058355653398640905,0.11120627127325373,0.06409139996510706,0.08848177984162081,0.09565699911420233,0.08593777817216394,0.12553678892103945
robbins,0.20071818812989295,0.14325341398952177,0.03732646940161577,0.1587956500364486,0.12235923120783192,0.10945022143720523,0.08506397405580475,0.09624078466571621,0.09892143507280951,0.21889912386189672,0.04864383047603842
npmle,0.15087302774425015,0.12582747212317755,0.03527382992745029,0.13452949380813947,0.06085068410066694,0.04080357414745036,0.06614612045075124,0.06646773586555137,0.08003617152669407,0.10321872147115477,0.042169014799655125
sqH,0.12830062346470977,0.1323242917207593,0.043242205746130614,0.10771882816965565,0.07135700721275501,0.04679256285995338,0.0662492332007087,0.06460120040622111,0.07777862229905318,0.12306064937640991,0.044754802678901924
chisq,0.1393605206597876,0.11280167600549725,0.02974248420613204,0.11784070263745075,0.04801839824732068,0.03473324870077805,0.058431226083397014,0.05538708947406967,0.0678058839220041,0.0869363542840035,0.040267737352395035
robbins,0.14577522241834534,0.13382174497590182,0.10541874313393848,0.09310483810375193,0.10198186565335639,0.15377402401710794,0.11756104258423625,0.13534774722467557,0.10573717766989763,0.0391519417452839,0.11920625498049574
npmle,0.1334793834851107,0.12367980544630193,0.06314764094483943,0.08817311909565087,0.09659561477721165,0.10534104532843987,0.11564358649012833,0.10445773241965763,0.08009764812625532,0.014733629120176965,0.048902233491716074
sqH,0.07782067862861448,0.0807506661970923,0.07453355668114874,0.08801917446255274,0.10726475632135314,0.08559220969413947,0.09290489422724336,0.11081200582654384,0.080594560539783,0.01493336279939437,0.02533777508772903
chisq,0.08416990118826748,0.08779561517388962,0.05225646341700709,0.08238157444035568,0.10572848052755847,0.06628270058723211,0.09619802840662799,0.08921871043687774,0.07309419958394724,0.014400504578896108,0.07925542304831659
robbins,0.2245596888969204,0.07004777049015715,0.18560811420876117,0.1810840496174414,0.2392514504623648,0.13672560715606308,0.14128097260856703,0.15048244020197798,0.16610006642492994,0.10021308207124308,0.09332918192261117
npmle,0.0772213848081353,0.040417281137036444,0.14392780526563403,0.16619320101004723,0.14575476506619978,0.10960571721899173,0.12942504768577373,0.08144812233422892,0.14381030624133023,0.08478185237596889,0.08759831572921525
sqH,0.08779065051172179,0.05213809527824125,0.10811409887740392,0.15822143159711313,0.13087623855315741,0.11569596705127427,0.09728688504347394,0.06099102135161359,0.12522787951138303,0.09076163770245795,0.08752574426489393
